Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price
New,Asus,ExpertBook,Intel Core i5,8,512,SSD,Integrated,15.6,0,16648500.0
New,Alurin,Go,Intel Celeron,8,256,SSD,Integrated,15.6,0,4933500.0
New,Asus,ExpertBook,Intel Core i3,8,256,SSD,Integrated,15.6,0,13018500.0
New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 3050,15.6,0,19783500.0
New,HP,15S,Intel Core i5,16,512,SSD,Integrated,15.6,0,11038665.0
New,MSI,Crosshair,Intel Core i7,32,1000,SSD,RTX 4060,17.3,0,28033500.0
New,Lenovo,ThinkPad,AMD Ryzen 5,8,256,SSD,Integrated,14.0,0,14998500.0
New,Asus,VivoBook,Intel Core i7,8,512,SSD,Integrated,15.6,0,13348665.0
New,Medion,Akoya,Intel Core i5,8,256,SSD,Integrated,15.6,0,8563500.0
New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,0,18958500.0
New,Lenovo,V15,Intel Celeron,8,256,SSD,Integrated,15.6,0,5758500.0
New,MSI,Thin,Intel Core i7,16,1000,SSD,RTX 4050,15.6,0,23083500.0
New,Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,0,19783500.0
New,Lenovo,V15,AMD Ryzen 5,16,512,SSD,Integrated,15.6,0,7870335.0
New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,Integrated,15.6,0,6451500.0
New,HP,15S,Intel Core i5,8,512,SSD,Integrated,15.6,0,11533500.0
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,Integrated,15.6,0,13183500.0
New,HP,15S,Intel Core i3,8,512,SSD,Integrated,15.6,0,9058500.0
New,Asus,VivoBook,Intel Core i7,8,512,SSD,Integrated,15.6,0,12688500.0
New,MSI,Thin,Intel Core i7,16,512,SSD,RTX 3050,15.6,0,16483500.0
New,MSI,Cyborg,Intel Core i5,16,1000,SSD,RTX 4060,15.6,0,20608500.0
New,Asus,M515UA,AMD Ryzen 7,16,512,SSD,Integrated,15.6,0,13018500.0
New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,Integrated,15.6,0,12028500.0
New,Asus,TUF,Intel Core i5,16,512,SSD,RTX 3050,15.6,0,18133500.0
New,Acer,Aspire,Intel Core i3,8,256,SSD,Integrated,15.6,0,8893665.0
New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,0,19453500.0
New,Alurin,Go,Intel Celeron,8,256,SSD,Integrated,14.0,0,3943500.0
New,HP,Victus,Intel Core i5,16,512,SSD,RTX 3050,15.6,0,16483500.0
New,HP,Pavilion,AMD Ryzen 5,16,512,SSD,Integrated,15.6,0,13183500.0
New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,Integrated,15.6,0,8563665.0
New,HP,15S,Intel Core i5,16,512,SSD,Integrated,15.6,0,13018500.0
New,MSI,Katana,Intel Core i7,16,512,SSD,RTX 4060,15.6,0,25558500.0
New,Asus,VivoBook,Intel Core i3,8,256,SSD,Integrated,15.6,0,8893665.0
New,HP,15S,Intel Core i3,8,256,SSD,Integrated,15.6,0,8893500.0
New,MSI,Vector,Intel Core i7,32,1000,SSD,RTX 4060,17.3,0,37108500.0
New,Asus,VivoBook,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,0,21433665.0
New,Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,0,18793665.0
New,Asus,Chromebook,Intel Celeron,8,64,eMMC,Integrated,15.6,0,6583500.0
New,HP,15S,Intel Core i7,16,512,SSD,Integrated,15.6,0,13018500.0
New,HP,15S,AMD Ryzen 5,8,512,SSD,Integrated,15.6,0,9883665.0
