,App,Category,CPU,GPU,RAM,Description
0,Adobe Premiere Pro,Video,Intel Core i5-6500 / AMD Ryzen 5 1400,NVIDIA GTX 1050 Ti / AMD RX 560,8GB,"Professional timeline-based video editing software for film, TV, and web."
1,Adobe Photoshop,Design,Intel Core i3-6100 / AMD Ryzen 3 1200,NVIDIA GT 1030 / AMD RX 550,8GB,Industry-standard raster graphics editor for photo editing and digital art.
2,DaVinci Resolve,Video,Intel Core i5-7400 / AMD Ryzen 5 1400,NVIDIA GTX 1050 Ti / AMD RX 570,8GB,Professional color correction and non-linear video editing software.
3,Blender,3D,Intel Core i5-6500 / AMD Ryzen 5 1400,NVIDIA GTX 1050 / AMD RX 560,8GB,"Free and open-source 3D creation suite for modeling, animation, and rendering."
4,Autodesk Maya,3D,Intel Core i5-7500 / AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti / AMD RX 570,8GB,"Professional 3D computer graphics software for animation, modeling, and rendering."
5,CorelDRAW,Design,Intel Core i3-7100 / AMD Ryzen 3 1200,Intel UHD 630 / AMD Radeon Vega 3,4GB,"Vector graphics editor for illustration, layout, and design."
6,VEGAS Pro,Video,Intel Core i5-7300HQ / AMD Ryzen 5 2500U,AMD Radeon Vega 8 Mobile,8GB,Professional video editing software for creative production and live streaming.
7,Affinity Photo,Design,Intel Core i3-7100 / AMD Ryzen 3 1200,Intel UHD 630 / AMD Radeon Vega 3,4GB,Professional raster graphics editor for photo editing and design.
8,Final Cut Pro,Video,Apple M1 / Intel Core i5-7500,Apple M1 GPU / Intel UHD 630,8GB,Professional non-linear video editing software for macOS.
9,Lightroom Classic,Design,Intel Core i3-7100 / AMD Ryzen 3 1200,Intel UHD 630 / AMD Radeon Vega 3,8GB,Photo editing and organization software for professional photographers.
10,Cinema 4D,3D,Intel Core i5-7500 / AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti / AMD RX 560,8GB,"3D modeling, animation, and rendering software for motion graphics."
11,Avid Media Composer,Video,Intel Core i5-7500 / AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti / AMD RX 560,8GB,Industry-standard video editing software for film and television production.
12,HitFilm Express,Video,Intel Core i3-7100 / AMD Ryzen 3 1200,Intel UHD 630 / AMD Radeon Vega 3,4GB,Video editing and visual effects software with compositing tools.
13,Capture One,Design,Intel Core i3-7100 / AMD Ryzen 3 1200,Intel UHD 630 / AMD Radeon Vega 3,8GB,Professional photo editing software with RAW processing capabilities.
14,Krita,Design,Intel Pentium Gold G5400 / AMD Athlon 3000G,Intel UHD 610 / AMD Radeon R3,4GB,Free and open-source digital painting software for artists.
15,SketchUp,Design,Intel Core i3-7100 / AMD Ryzen 3 1200,Intel UHD 630 / AMD Radeon Vega 3,4GB,3D modeling software for architectural and interior design.
