Game,Category,Description,CPU,GPU,RAM,File Size
inZOI,Casual / Adventure / Simulation,"""Every life becomes a story"" Create your unique story by controlling and observing the lives of 'Zois'. Customize characters and build houses using inZOI's easy-to-use tools to live the life of your dreams and experience the different emotions of life created by its deep and detailed simulation.",Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,12 GB,60 GB
Assassin's Creed Shadows,Action / RPG / Adventure,Experience an epic action-adventure story set in feudal Japan! Become a lethal shinobi assassin and powerful legendary samurai as you explore a beautiful open world in a time of chaos.,Intel Core i7-8700K  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,100 GB
Grand Theft Auto V,Action / Racing / Adventure,"Grand Theft Auto V: Enhanced Edition is an upgraded version of the classic open-world game, featuring improved graphics, faster loading times, and new content. Explore Los Santos with ray-traced lighting, enhanced textures, and smoother performance. Enjoy new vehicles, missions, and updates in both Story Mode and GTA Online. Whether you're revisiting or playing for the first time, this edition offers the most immersive GTA V experience yet.",Intel Core i7-4770  / FX-9590,NVIDIA GeForce GTX 1630  / Radeon RX 6400,8 GB,105 GB
Schedule I,Action / Strategy / Indie,"From small-time dope pusher to kingpin - manufacture and distribute a range of drugs throughout the grungy city of Hyland Point. Expand your empire with properties, businesses, employees and more.",Intel Core i5-1300F,AMD Radeon RX 580  / GeForce GTX 1060,8 GB,8 GB
R.E.P.O.,Action / Early Access,"An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creator's desires.",Intel Core i5-6600,NVIDIA GeForce GTX 970,8 GB,1 GB
CS2,Action / Free to Play,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",Intel Core i5-750,NVIDIA GeForce 610M,8 GB,85 GB
Monster Hunter Wilds,Action / RPG / Adventure,"The unbridled force of nature runs wild and relentless, with environments transforming drastically from one moment to the next. This is a story of monsters and humans and their struggles to live in harmony in a world of duality.",Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce GTX 1660  / Radeon RX 5500 XT,16 GB,75 GB
Marvel Rivals,Action / Strategy / Free to Play,"Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!",Intel Core i5-6600K  / Ryzen 5 1600X,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,70 GB
Valorant,Action / Free to Play,"Valorant is a team-based shooter where you fight through 13 intense rounds using sharp aim and special abilities. With one life per round, every move counts. Play in Competitive, Unranked, Deathmatch, or Spike Rush and outsmart your enemies to win.",Intel Core 2 Duo E8400  / Athlon 200GE,Intel HD 4000  / Radeon R5 230,4 GB,30 GB
Cyberpunk 2077,Action / RPG / FPS,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",Intel Core i7-6700  / Ryzen 5 1600,NVIDIA GeForce GTX 1060  / Radeon RX 580,12 GB,70 GB
Split Fiction,Action / Adventure,"Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op adventure.",Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,12 GB,40 GB
GTA 6,Action / MMO,"The next Grand Theft Auto series will take the open-world crime game to new heights, exploring a whole new map, and setting the stage for the first female main character in a Rockstar title.",Intel Core i5-6600K,NVIDIA GeForce GTX 1660,12 GB,150 GB
Elden Ring,Action / RPG / Violent,"THE CRITICALLY ACCLAIMED FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",Intel Core i5-8400  / Ryzen 3 3300X,NVIDIA GeForce GTX 1060 3GB  / Radeon RX 580,12 GB,60 GB
Red Dead Redemption 2,Action / RPG / Adventure,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.",AMD FX-6300,AMD Radeon R9 280,8 GB,150 GB
Fortnite,Action / Free to Play,"The 100 player PvP battle royale, Epic’s Fortnite is one of a kind. With unique building mechanics, weapons, vehicles, and gamemodes Fortnite revolutionised the battle royale format and became a mainstay in modern pop-culture. Though it had a dip in popularity it’s come back stronger than ever with the new Chapters, and we're fast approaching the latest season of Chapter 5.",Intel Core i3-3225,Intel HD 4000  / Radeon HD 7870,8 GB,15 GB
Minecraft,Casual / Indie / Adventure,"Minecraft is a sandbox game where you can build, explore, and survive in a blocky world made of endless terrain. Mine resources, craft tools, and create anything you can imagine - alone or with friends. Adventure, creativity, and danger await everywhere.",Intel Celeron J4105  / FX-4100,Intel HD 4000  / Radeon R5 220,4 GB,1 GB
FragPunk,Action / Free to Play,FragPunk is a thrilling 5v5 hero shooter where Shard Cards allow you to break the rules of combat and ensure that no two rounds are ever the same. Get ready to unleash your skills!,Intel Core i7-4790  / Ryzen 3 3100,NVIDIA GeForce GTX 750 Ti  / Radeon RX 550,8 GB,40 GB
Baldur's Gate 3,Strategy / RPG / Adventure,"Baldur’s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.",Intel Core i5-4690  / FX-8350,NVIDIA GeForce GTX 970  / Radeon RX 480,8 GB,150 GB
The Last of Us Part 2 Remastered,Action / Adventure,"Experience the winner of over 300 Game of the Year awards, now on PC. Discover Ellie and Abby’s story with graphical enhancements, gameplay modes like the roguelike survival experience No Return, and more.",Intel Core i3-8100  / Ryzen 3 1300X,NVIDIA GeForce GTX 1650  / Radeon RX 5500 XT,16 GB,150 GB
EA SPORTS FC 25,Sports / Simulation,"EA SPORTS FC™ 25 gives you more ways to win for the club. Team up with friends in your favourite modes with the new 5v5 Rush, and manage your club to victory as FC IQ delivers more tactical control than ever before.",Intel Core i5-6600K  / Ryzen 5 1600,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 570,8 GB,100 GB
Kingdom Come: Deliverance II,Action / RPG / Adventure,"A thrilling story-driven action RPG, with a rich open world, set in 15th century Medieval Europe. Experience the ultimate medieval adventure - through the eyes of young Henry - as you embark on a journey of epic proportions.",Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,100 GB
Marvel's Spider-Man 2,Action / RPG / Adventure,"Be Greater. Together. The incredible power of the symbiote forces Peter Parker and Miles Morales into a desperate fight as they balance their lives, friendships, and their duty to protect in an exciting chapter of the critically acclaimed Spider-Man franchise on PC.",Intel Core i3-8100  / Ryzen 3 3100,NVIDIA GeForce GTX 1650  / Radeon RX 5500 XT,16 GB,140 GB
HELLDIVERS 2,Unknown,"The Galaxy’s Last Line of Offence. Enlist in the Helldivers and join the fight for freedom across a hostile galaxy in a fast, frantic, and ferocious third-person shooter.",Intel Core i7-4790K  / Ryzen 5 1500X,AMD Radeon RX 470  / GeForce GTX 1050 Ti,8 GB,100 GB
PUBG: Battlegrounds,Action / Adventure / MMO,"PUBG: BATTLEGROUNDS, the high-stakes winner-take-all shooter that started the Battle Royale craze, is free-to-play! Drop into diverse maps, loot unique weapons and supplies, and survive in an ever-shrinking zone where every turn could be your last.",AMD FX-6300,AMD Radeon R9 270 / R7 370,8 GB,40 GB
Hogwarts Legacy,Action / RPG / Adventure,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",Intel Core i5-6600,NVIDIA GeForce GTX 980,16 GB,85 GB
Ghost of Tsushima DIRECTORS CUT,Action / Adventure,"A storm is coming. Venture into the complete Ghost of Tsushima DIRECTOR’S CUT on PC; forge your own path through this open-world action adventure and uncover its hidden wonders. Brought to you by Sucker Punch Productions, Nixxes Software and PlayStation Studios.",Intel Core i3-7100  / Ryzen 3 1200,NVIDIA GeForce GTX 960  / Radeon RX 5500 XT,8 GB,75 GB
Forza Horizon 5,Action / Racing / Sports,"Explore the vibrant open world landscapes of Mexico with limitless, fun driving action in the world’s greatest cars.",Intel Core i5-4460,AMD Radeon RX 470,8 GB,110 GB
God of War Ragnarök,Action / RPG / Adventure,Kratos and Atreus embark on a mythic journey for answers before Ragnarök arrives – now on PC.,Intel Core i5-4670K  / Ryzen 3 1200,NVIDIA GeForce GTX 1060  / Radeon RX 5500 XT,8 GB,190 GB
The Last of Us,Action / Adventure,"Discover the award-winning game that inspired the critically acclaimed television show. Guide Joel and Ellie through a post-apocalyptic America, and encounter unforgettable allies and enemies in The Last of Us™.",Intel Core i7-4770K  / Ryzen 5 1500X,NVIDIA GeForce GTX 970  / Radeon RX 470,16 GB,100 GB
Call of Duty: Warzone,Action / MMO / Free to Play,"Call of Duty: Warzone is a free-to-play battle royale game where up to 150 players fight to be the last one standing. Drop into massive maps like Verdansk and Al Mazrah, collect weapons and gear, and survive shrinking safe zones. Use cash to buy custom loadouts, revive teammates, or gain an edge at Buy Stations. If eliminated, battle in the Gulag for a second chance. Warzone also features DMZ, an extraction mode where you face both players and AI while collecting loot. With cross-platform play and frequent updates, Warzone delivers fast-paced, tactical action for solo or squad play.",Intel Core i3-4340  / FX-6300,NVIDIA GeForce GTX 670  / GeForce GTX 1650 / Radeon HD 7950,8 GB,175 GB
BLEACH Rebirth of Souls,Unknown,Awaken the blade within you and reverse your fate in BLEACH Rebirth of Souls! Engage in thrilling battles with powerful sword abilities and characters from this legendary anime franchise.,Intel Core i7-9700K,NVIDIA GeForce RTX 2070,16 GB,75 GB
