,Status,Laptop,Brand,Model,CPU,GPU,RAM,Storage,Storage type,Screen,Touch,CPU_score,GPU_score,Final Price
0,New,ASUS ExpertBook B1 B1502CBA-EJ0436X,Asus,ExpertBook,Intel Core i5-1235U,Intel Iris Xe Graphics,8,512,SSD,15.6,0,12993.0,2657.0,16648500.0
1,New,Alurin Go Start,Alurin,Go,Intel Celeron N4020,Intel UHD Graphics 600,8,256,SSD,15.6,0,1546.0,317.0,4933500.0
2,New,ASUS ExpertBook B1 B1502CBA-EJ0424X,Asus,ExpertBook,Intel Core i3-1215U,Intel UHD Graphics,8,256,SSD,15.6,0,10548.0,1495.0,13018500.0
3,New,MSI Katana GF66 12UC-082XES,MSI,Katana,Intel Core i7-12700H,RTX 3050,16,1000,SSD,15.6,0,25766.0,9466.0,19783500.0
4,New,HP 15S-FQ5085NS,HP,15S,Intel Core i5-1235U,Intel Iris Xe Graphics,16,512,SSD,15.6,0,12993.0,2657.0,11038665.0
5,New,MSI Crosshair 17 C12VF-264XES,MSI,Crosshair,Intel Core i7-12650H,RTX 4060,32,1000,SSD,17.3,0,22065.0,19703.0,28033500.0
6,New,Lenovo Thinkpad E14 Gen 4,Lenovo,ThinkPad,AMD Ryzen 5 5625U,AMD Radeon Graphics,8,256,SSD,14.0,0,14837.0,1996.0,14998500.0
7,New,ASUS VivoBook 15 F515JA-EJ2882W,Asus,VivoBook,Intel Core i7-1065G7,Intel Iris Plus Graphics G7,8,512,SSD,15.6,0,8205.0,2300.0,13348665.0
8,New,Medion Akoya E15415,Medion,Akoya,Intel Core i5-10210U,Intel UHD Graphics,8,256,SSD,15.6,0,6136.0,1495.0,8563500.0
9,New,HP Victus 16-d1038ns,HP,Victus,Intel Core i7-12700H,RTX 3050,16,512,SSD,16.1,0,25766.0,9466.0,18958500.0
10,New,Lenovo V15 IGL,Lenovo,V15,Intel Celeron N4020,Intel UHD Graphics 600,8,256,SSD,15.6,0,1546.0,317.0,5758500.0
11,New,MSI Thin GF63 12VE-021XES,MSI,Thin,Intel Core i7-12650H,RTX 4050,16,1000,SSD,15.6,0,22065.0,14435.0,23083500.0
12,New,ASUS ROG Strix G15 G513RC-HN088,Asus,ROG,AMD Ryzen 7 6800H,RTX 3050,16,512,SSD,15.6,0,23136.0,9466.0,19783500.0
13,New,Lenovo V15 G3 ABA,Lenovo,V15,AMD Ryzen 5 5625U,AMD Radeon Graphics,16,512,SSD,15.6,0,14837.0,1996.0,7870335.0
14,New,Lenovo IdeaPad 1 15ADA7,Lenovo,IdeaPad,AMD Ryzen 3 3250U,AMD Radeon Vega 3 Graphics,8,256,SSD,15.6,0,3748.0,889.0,6451500.0
15,New,HP 15S-FQ5013NS,HP,15S,Intel Core i5-1235U,Intel Iris Xe Graphics,8,512,SSD,15.6,0,12993.0,2657.0,11533500.0
16,New,Lenovo IdeaPad 3 15IAU7,Lenovo,IdeaPad,Intel Core i5-1235U,Intel Iris Xe Graphics,16,512,SSD,15.6,0,12993.0,2657.0,13183500.0
17,New,HP 15S-FQ2163NS,HP,15S,Intel Core i3-1115G4,Intel UHD Graphics,8,512,SSD,15.6,0,5934.0,1495.0,9058500.0
18,New,ASUS VivoBook 15 F515JA-EJ4134,Asus,VivoBook,Intel Core i7-1065G7,Intel Iris Plus Graphics G7,8,512,SSD,15.6,0,8205.0,2300.0,12688500.0
19,New,MSI GF63 Thin 11UC-446XES,MSI,Thin,Intel Core i7-11800H,RTX 3050,16,512,SSD,15.6,0,20086.0,9466.0,16483500.0
20,New,MSI Cyborg 15 A12VF-098XES,MSI,Cyborg,Intel Core i5-12450H,RTX 4060,16,1000,SSD,15.6,0,16401.0,19703.0,20608500.0
21,New,ASUS M515UA-EJ486W,Asus,M515UA,AMD Ryzen 7 5700U,AMD Radeon Graphics,16,512,SSD,15.6,0,15676.0,2241.0,13018500.0
22,New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 7 5700U,AMD Radeon Graphics,16,512,SSD,15.6,0,15676.0,2241.0,12028500.0
23,New,ASUS TUF Gaming F15 FX506HC-HN004,Asus,TUF,Intel Core i5-11400H,RTX 3050,16,512,SSD,15.6,0,15398.0,9466.0,18133500.0
24,New,Acer Aspire 3 A315-59-37GX,Acer,Aspire,Intel Core i3-1215U,Intel UHD Graphics,8,256,SSD,15.6,0,10548.0,1495.0,8893665.0
25,New,ASUS TUF Gaming F15 FX507ZC4-HN002,Asus,TUF,Intel Core i7-12700H,RTX 3050,16,512,SSD,15.6,0,25766.0,9466.0,19453500.0
26,New,Alurin Go Start,Alurin,Go,Intel Celeron N4020,Intel UHD Graphics 600,8,256,SSD,14.0,0,1546.0,317.0,3943500.0
27,New,HP Victus 15-fa0012ns,HP,Victus,Intel Core i5-12500H,RTX 3050,16,512,SSD,15.6,0,20660.0,9466.0,16483500.0
28,New,HP Pavilion 15-eh1004ns,HP,Pavilion,AMD Ryzen 5 5500U,AMD Radeon Graphics,16,512,SSD,15.6,0,12868.0,1970.0,13183500.0
29,New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i5-1155G7,Intel Iris Xe Graphics,8,512,SSD,15.6,0,9814.0,2657.0,8563665.0
30,New,HP 15S-FQ5028NS,HP,15S,Intel Core i5-1235U,Intel Iris Xe Graphics,16,512,SSD,15.6,0,12993.0,2657.0,13018500.0
31,New,MSI Katana 15 B12VFK-095XES,MSI,Katana,Intel Core i7-12650H,RTX 4060,16,512,SSD,15.6,0,22065.0,19703.0,25558500.0
32,New,ASUS VivoBook F1500EA-EJ2384W,Asus,VivoBook,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934.0,1495.0,8893665.0
33,New,HP 15S-fq2159ns,HP,15S,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934.0,1495.0,8893500.0
34,New,MSI Vector GP77 13VF-022XES,MSI,Vector,Intel Core i7-13700H,RTX 4060,32,1000,SSD,17.3,0,26456.0,19703.0,37108500.0
35,New,ASUS VivoBook Pro 15 OLED M6500QC-L1010W,Asus,VivoBook,AMD Ryzen 7 5800H,RTX 3050,16,512,SSD,15.6,0,20856.0,9466.0,21433665.0
36,New,ASUS ROG Strix G15 G513RC-HF094,Asus,ROG,AMD Ryzen 7 6800H,RTX 3050,16,512,SSD,15.6,0,23136.0,9466.0,18793665.0
37,New,ASUS Chromebook CX1500CNA-EJ0100,Asus,Chromebook,Intel Celeron N3350,Intel HD Graphics 500,8,64,eMMC,15.6,0,1110.0,299.0,6583500.0
38,New,HP 15S-fq5101ns,HP,15S,Intel Core i7-1255U,Intel Iris Xe Graphics,16,512,SSD,15.6,0,13289.0,2657.0,13018500.0
39,New,HP 15S-EQ2090NS,HP,15S,AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,15.6,0,12868.0,1970.0,9883665.0
40,New,HP Omen 16-b1022ns,HP,Omen,Intel Core i7-12700H,RTX 3060,32,1000,SSD,16.1,0,25766.0,16840.0,28033500.0
41,New,ASUS VivoBook 15 F1502ZA-EJ733,Asus,VivoBook,Intel Core i5-1235U,Intel Iris Xe Graphics,8,512,SSD,15.6,0,12993.0,2657.0,10048500.0
42,New,Asus ZenBook 13 OLED UX325EA-KG245,Asus,ZenBook,Intel Core i7-1165G7,Intel Iris Xe Graphics,16,512,SSD,13.3,0,10011.0,2657.0,17968500.0
43,New,HP Victus 16-d1033ns,HP,Victus,Intel Core i7-12700H,RTX 3060,16,512,SSD,16.1,0,25766.0,16840.0,23083500.0
44,New,HP 15S-fq5055ns,HP,15S,Intel Core i7-1255U,Intel Iris Xe Graphics,16,512,SSD,15.6,0,13289.0,2657.0,14833665.0
45,New,HP 15S-eq2087ns,HP,15S,AMD Ryzen 5 5500U,AMD Radeon Graphics,12,512,SSD,15.6,0,12868.0,1970.0,9058500.0
46,New,Lenovo IdeaPad Gaming 3 15IHU6,Lenovo,IdeaPad,Intel Core i5-11320H,RTX 3050,16,512,SSD,15.6,0,10884.0,9466.0,15328500.0
47,New,MSI Creator M16 B13VE-682XES,MSI,Creator,Intel Core i7-13700H,RTX 4050,32,1000,SSD,16.0,0,26456.0,14435.0,31333665.0
48,New,Lenovo IdeaPad 1 15ALC7,Lenovo,IdeaPad,AMD Ryzen 7 5700U,AMD Radeon Graphics,16,512,SSD,15.6,0,15676.0,2241.0,13678500.0
49,New,HP 15S-fq2158ns,HP,15S,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934.0,1495.0,7408500.0
50,New,Apple MacBook Air,Apple,MacBook Air,Apple M1 8 Core 3200 MHz,Apple M1 GPU,8,256,SSD,13.3,0,14145.0,4850.0,20113500.0
51,New,Lenovo ThinkBook 14,Lenovo,ThinkBook,Intel Core i5-1135G7,Intel Iris Xe Graphics,8,256,SSD,14.0,0,9564.0,2657.0,11533500.0
52,New,ASUS TUF Gaming A15 2023 FA507NV-LP041,Asus,TUF,AMD Ryzen 7 7735HS,RTX 4060,16,1000,SSD,15.6,0,23295.0,19703.0,22258500.0
53,New,MSI Katana 15 B12VGK-094XES,MSI,Katana,Intel Core i7-12650H,RTX 4070,16,1000,SSD,15.6,0,22065.0,26942.0,28033500.0
54,New,ASUS M515UA-EJ522W,Asus,M515UA,AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,15.6,0,12868.0,1970.0,11533500.0
55,New,HP Victus 16-e0101ns,HP,Victus,AMD Ryzen 7 5800H,RTX 3060,16,512,SSD,16.1,0,20856.0,16840.0,21433665.0
56,New,HP 250 G9,HP,250,Intel Celeron N4500,Intel UHD Graphics,8,256,SSD,15.6,0,1882.0,1495.0,6583500.0
57,New,HP OMEN 16-C0042NS,HP,Omen,AMD Ryzen 7 5800H,RTX 3050,16,512,SSD,16.1,0,20856.0,9466.0,18958500.0
58,New,MSI Modern 15 B7M-041XES,MSI,Modern,AMD Ryzen 5 7530U,AMD Radeon Graphics,16,512,SSD,15.6,0,15552.0,2250.0,13843500.0
59,New,HP 255 G9,HP,255,AMD 3020e,AMD Radeon Graphics,8,512,SSD,15.6,0,2411.0,475.0,6253500.0
60,New,ASUS VivoBook 15 F1500EA-EJ3022,Asus,VivoBook,Intel Core i7-1165G7,Intel Iris Xe Graphics,16,512,SSD,15.6,0,10011.0,2657.0,13348665.0
61,New,Lenovo V15 G2 ITL,Lenovo,V15,Intel Core i5-1135G7,Intel Iris Xe Graphics,8,512,SSD,15.6,0,9564.0,2657.0,12853500.0
62,New,ASUS VivoBook 15 F1500EA-EJ3023,Asus,VivoBook,Intel Core i7-1165G7,Intel Iris Xe Graphics,8,512,SSD,15.6,0,10011.0,2657.0,12358500.0
63,New,MSI Thin GF63 12VE-009XES,MSI,Thin,Intel Core i5-12450H,RTX 4050,16,512,SSD,15.6,0,16401.0,14435.0,18133500.0
64,New,MSI Modern 15 B13M-281XES,MSI,Modern,Intel Core i7-1355U,Intel Iris Xe Graphics,16,1000,SSD,15.6,0,14369.0,2657.0,16483500.0
65,New,HP 15S-eq2088ns,HP,15S,AMD Ryzen 7 5700U,AMD Radeon Graphics,16,512,SSD,15.6,0,15676.0,2241.0,10708665.0
66,New,MSI Vector GP77 13VG-021XES,MSI,Vector,Intel Core i7-13700H,RTX 4070,32,1000,SSD,17.3,0,26456.0,26942.0,41233500.0
67,New,ASUS VivoBook 15 F1500EA-EJ3067W,Asus,VivoBook,Intel Core i7-1165G7,Intel Iris Xe Graphics,8,512,SSD,15.6,0,10011.0,2657.0,14173500.0
68,New,MSI Creator M16 B12UDX-809XES,MSI,Creator,Intel Core i7-12650H,RTX 3050,32,1000,SSD,16.0,0,22065.0,9466.0,24733665.0
69,New,Apple Macbook Pro,Apple,MacBook Pro,Apple M2 8 Core 3500 MHz,Apple M2 GPU,8,256,SSD,13.3,0,15648.0,6300.0,26383500.0
70,New,ASUS TUF Gaming A15 2023 FA507XI-LP024,Asus,TUF,AMD Ryzen 9 7940HS,RTX 4070,32,512,SSD,15.6,0,30132.0,26942.0,28033665.0
71,New,MSI Katana 15 B13VFK-031XES,MSI,Katana,Intel Core i7-13620H,RTX 4060,16,1000,SSD,15.6,0,24272.0,19703.0,28033500.0
72,New,HP Victus 16-d1021ns,HP,Victus,Intel Core i7-12700H,RTX 3050,16,512,SSD,16.1,0,25766.0,9466.0,19783500.0
73,New,MSI Modern 14 C13M-426XES,MSI,Modern,Intel Core i7-1355U,Intel Iris Xe Graphics,16,1000,SSD,14.0,0,14369.0,2657.0,16483500.0
74,New,MSI Modern 15 B12M-430XES,MSI,Modern,Intel Core i3-1215U,Intel UHD Graphics,8,256,SSD,15.6,0,10548.0,1495.0,8233500.0
75,New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 3 5300U,AMD Radeon Graphics,8,256,SSD,15.6,0,9612.0,1539.0,8233500.0
76,New,MSI Prestige 14H B12UCX-414XES,MSI,Prestige,Intel Core i5-12450H,RTX 2050,16,512,SSD,14.0,0,16401.0,7757.0,16483500.0
77,New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i7-1165G7,Intel Iris Xe Graphics,16,512,SSD,15.6,0,10011.0,2657.0,12358500.0
78,New,Lenovo ThinkBook 15 G2 ITL,Lenovo,ThinkBook,Intel Core i5-1135G7,Intel Iris Xe Graphics,8,256,SSD,15.6,0,9564.0,2657.0,14503500.0
79,New,MSI Prestige 14H B12UCX-413XES,MSI,Prestige,Intel Core i7-12650H,RTX 2050,16,1000,SSD,14.0,0,22065.0,7757.0,24568500.0
80,New,HP Pavilion 15-eg2004ns,HP,Pavilion,Intel Core i7-1255U,Intel Iris Xe Graphics,16,512,SSD,15.6,0,13289.0,2657.0,16483500.0
81,New,HP Victus 15-fa0026ns,HP,Victus,Intel Core i5-12450H,GTX 1650,16,512,SSD,15.6,0,16401.0,7878.0,16483500.0
82,New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i5-1155G7,Intel Iris Xe Graphics,8,512,SSD,15.6,0,9814.0,2657.0,9718500.0
83,New,Lenovo ThinkBook 14 G4 IAP,Lenovo,ThinkBook,Intel Core i5-1235U,Intel Iris Xe Graphics,8,256,SSD,14.0,0,12993.0,2657.0,15823500.0
84,New,HP Victus 15-fa0004ns,HP,Victus,Intel Core i5-12500H,GTX 1650,16,512,SSD,15.6,0,20660.0,7878.0,17143500.0
85,New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,15.6,0,12868.0,1970.0,9883500.0
86,New,HP 15S-fq5094ns,HP,15S,Intel Core i7-1255U,Intel Iris Xe Graphics,8,512,SSD,15.6,0,13289.0,2657.0,12193665.0
87,New,MSI Stealth 16 Studio A13VF-038XES,MSI,Stealth,Intel Core i7-13700H,RTX 4060,32,1000,SSD,16.0,0,26456.0,19703.0,40408500.0
88,New,Acer Aspire 5 A515-57-76BV,Acer,Aspire,Intel Core i7-1255U,Intel Iris Xe Graphics,8,512,SSD,15.6,0,13289.0,2657.0,13843500.0
89,New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 3 5300U,AMD Radeon Graphics,8,256,SSD,15.6,0,9612.0,1539.0,8233500.0
90,New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 7 5700U,AMD Radeon Graphics,8,512,SSD,15.6,0,15676.0,2241.0,11533500.0
91,New,MSI Pulse 15 B13VFK-448XES,MSI,Pulse,Intel Core i9-13900H,RTX 4060,32,1000,SSD,15.6,0,27858.0,19703.0,39583665.0
92,New,Lenovo IdeaPad 1 15ADA7,Lenovo,IdeaPad,AMD 3020e,AMD Radeon Graphics,4,128,SSD,15.6,0,2411.0,475.0,7309335.0
93,New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,15.6,0,12868.0,1970.0,11368665.0
94,New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i5-1155G7,Intel Iris Xe Graphics,16,512,SSD,15.6,0,9814.0,2657.0,12358500.0
95,New,Lenovo IdeaPad 1 15ADA7,Lenovo,IdeaPad,AMD 3020e,AMD Radeon Graphics,4,256,SSD,15.6,0,2411.0,475.0,5312835.0
96,New,MSI Modern 15 B11M-043XES,MSI,Modern,Intel Core i5-1155G7,Intel Iris Xe Graphics,8,512,SSD,15.6,0,9814.0,2657.0,9883500.0
97,New,ASUS ZenBook 13 OLED UX325EA-KG448W,Asus,ZenBook,Intel Core i7-1165G7,Intel Iris Xe Graphics,16,512,SSD,13.3,0,10011.0,2657.0,19783500.0
98,New,ASUS TUF Gaming F15 FX506HF-HN004,Asus,TUF,Intel Core i5-11400H,RTX 2050,16,512,SSD,15.6,0,15398.0,7757.0,15658500.0
99,New,ASUS VivoBook F1605PA-MB125W,Asus,VivoBook,Intel Core i5-11300H,Intel Iris Xe Graphics,16,512,SSD,16.0,0,10849.0,2657.0,13183500.0
100,New,Razer Blade 15 Advanced Model QHD,Razer,Blade,Intel Core i7-12800H,RTX 3070,16,1000,SSD,15.6,0,24504.0,22238.0,54449835.0
101,New,Medion Akoya E15301,Medion,Akoya,AMD Ryzen 7 3700U,AMD Radeon Vega 10 Graphics,8,256,SSD,15.6,0,7099.0,1544.0,7903335.0
102,New,ASUS ExpertBook B1 B1502CBA-EJ0469X,Asus,ExpertBook,Intel Core i5-1235U,Intel Iris Xe Graphics,8,256,SSD,15.6,0,12993.0,2657.0,16318500.0
103,New,Lenovo IdeaPad 1 15ADA7,Lenovo,IdeaPad,AMD Ryzen 3 3250U,AMD Radeon Vega 3 Graphics,8,256,SSD,15.6,0,3748.0,889.0,7259835.0
104,New,HP 15S-eq2089ns,HP,15S,AMD Ryzen 3 5300U,AMD Radeon Graphics,8,256,SSD,15.6,0,9612.0,1539.0,8728500.0
105,New,ASUS VivoBook F1605PA-MB143,Asus,VivoBook,Intel Core i7-11370H,Intel Iris Xe Graphics,8,512,SSD,16.0,0,11646.0,2657.0,11698500.0
106,New,ASUS Vivobook Go E1504FA-BQ204W,Asus,VivoBook,AMD Ryzen 5 7520U,Radeon 610M,8,512,SSD,15.6,0,9139.0,1104.0,8414835.0
107,New,Lenovo IdeaPad 1 15ALC7,Lenovo,IdeaPad,AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,15.6,0,12868.0,1970.0,10873500.0
108,New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i7-1165G7,Intel Iris Xe Graphics,16,512,SSD,15.6,0,10011.0,2657.0,12358500.0
109,New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 7 5700U,AMD Radeon Graphics,8,512,SSD,15.6,0,15676.0,2241.0,9718500.0
110,New,Lenovo IdeaPad 1 15ALC7,Lenovo,IdeaPad,AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,15.6,0,12868.0,1970.0,9058500.0
111,New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 3 5300U,AMD Radeon Graphics,8,256,SSD,15.6,0,9612.0,1539.0,7573500.0
112,New,ASUS VivoBook F1605PA-MB124W,Asus,VivoBook,Intel Core i7-11370H,Intel Iris Xe Graphics,8,512,SSD,16.0,0,11646.0,2657.0,13513500.0
113,New,ASUS VivoBook F1605PA-MB146,Asus,VivoBook,Intel Core i5-11300H,Intel Iris Xe Graphics,8,512,SSD,16.0,0,10849.0,2657.0,10048665.0
114,New,ASUS ZenBook 14 UM425QA-KI252,Asus,ZenBook,AMD Ryzen 7 5800H,AMD Radeon Graphics,16,512,SSD,14.0,0,20856.0,2736.0,16483500.0
115,New,Acer Aspire 3 A315-59-504M,Acer,Aspire,Intel Core i5-1235U,Intel Iris Xe Graphics,16,512,SSD,15.6,0,12993.0,2657.0,12193665.0
116,New,Lenovo IdeaPad Gaming 3 15IAH7,Lenovo,IdeaPad,Intel Core i7-12700H,RTX 3060,16,512,SSD,15.6,0,25766.0,16840.0,23083500.0
