App,Category,RAM,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,Description
Adobe Premiere Pro,['Video'],8,Intel Core i5-6500,AMD Ryzen 5 1400,NVIDIA GTX 1050 Ti,AMD RX 560,NVIDIA GTX 1050 Ti,19760,7735,720,6519,720,"Professional timeline-based video editing software for film, TV, and web."
Adobe Photoshop,['Design'],8,Intel Core i3-6100,AMD Ryzen 3 1200,NVIDIA GT 1030,AMD RX 550,NVIDIA GT 1030,12419,6261,84,6519,84,Industry-standard raster graphics editor for photo editing and digital art.
DaVinci Resolve,['Video'],8,Intel Core i5-7400,AMD Ryzen 5 1400,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19102,7735,720,6519,720,Professional color correction and non-linear video editing software.
Blender,['3D'],8,Intel Core i5-6500,AMD Ryzen 5 1400,NVIDIA GTX 1050,AMD RX 560,NVIDIA GTX 1050,19760,7735,720,6519,720,"Free and open-source 3D creation suite for modeling, animation, and rendering."
Autodesk Maya,['3D'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,"Professional 3D computer graphics software for animation, modeling, and rendering."
CorelDRAW,['Design'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,"Vector graphics editor for illustration, layout, and design."
VEGAS Pro,['Video'],8,Intel Core i5-7300HQ,AMD Ryzen 5 2500U,AMD Radeon Vega 8 Mobile,AMD Radeon Vega 8 Mobile,AMD Radeon Vega 8 Mobile,21876,6513,1426,1426,1426,Professional video editing software for creative production and live streaming.
Affinity Photo,['Design'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Professional raster graphics editor for photo editing and design.
Final Cut Pro,['Video'],8,Intel Core i5-7500,Intel Core i5-7500,,,Intel UHD 630,19760,19760,614,614,614,Professional non-linear video editing software for macOS.
Lightroom Classic,['Design'],8,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Photo editing and organization software for professional photographers.
Cinema 4D,['3D'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 560,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,"3D modeling, animation, and rendering software for motion graphics."
Avid Media Composer,['Video'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 560,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,Industry-standard video editing software for film and television production.
